"","Overall"
"Bin.2.54",100
"Bin.3.98",94.978
"Bin.2.70",82.27
"Bin.7.54",65.5
"Bin.2.66",62.147
"Bin.7.82",61.507
"Bin.3.06",53.867
"Bin.3.94",52.064
"Bin.3.04",47.311
"Bin.2.58",44.699
"Bin.7.86",44.475
"Bin.4.04",39.44
"Bin.3.70",38.232
"Bin.3.42",37.897
"Bin.3.58",35.308
"Bin.0.94",33.558
"Bin.4.06",32.733
"Bin.7.58",31.501
"Bin.3.22",31.256
"Bin.3.46",28.054
"Bin.3.74",27.637
"Bin.3.66",27.321
"Bin.3.26",25.937
"Bin.2.06",24.288
"Bin.7.62",23.003
"Bin.0.98",22.426
"Bin.7.66",22.289
"Bin.0.90",22.249
"Bin.3.14",21.382
"Bin.2.26",21.104
"Bin.3.50",19.999
"Bin.3.62",19.782
"Bin.0.86",18.436
"Bin.2.10",18.302
"Bin.1.70",17.633
"Bin.1.22",17.406
"Bin.4.22",17.044
"Bin.2.46",16.771
"Bin.4.10",16.174
"Bin.0.82",15.563
"Bin.3.30",14.792
"Bin.1.26",14.295
"Bin.3.78",13.357
"Bin.1.66",12.864
"Bin.4.30",12.642
"Bin.1.02",12.261
"Bin.1.74",11.902
"Bin.2.30",11.841
"Bin.3.34",11.836
"Bin.2.02",11.802
"Bin.1.94",11.765
"Bin.3.86",11.753
"Bin.1.54",11.735
"Bin.1.98",11.64
"Bin.2.50",11.551
"Bin.7.30",11.423
"Bin.3.18",11.333
"Bin.1.90",11.27
"Bin.3.02",10.904
"Bin.4.26",10.532
"Bin.7.38",10.531
"Bin.4.34",10.529
"Bin.4.14",10.504
"Bin.1.14",10.371
"Bin.2.62",10.159
"Bin.2.98",10.157
"Bin.2.18",10.086
"Bin.0.78",10.052
"Bin.1.38",10.022
"Bin.1.62",9.8921
"Bin.1.86",9.7929
"Bin.1.18",9.6757
"Bin.3.90",9.4546
"Bin.1.78",9.4397
"Bin.1.34",9.362
"Bin.7.14",8.9337
"Bin.1.42",8.927
"Bin.7.06",8.8995
"Bin.2.34",8.2381
"Bin.1.82",8.04
"Bin.4.18",7.9379
"Bin.1.58",7.8003
"Bin.7.42",7.4082
"Bin.0.74",7.4061
"Bin.4.02",7.3338
"Bin.3.82",7.171
"Bin.7.02",7.1518
"Bin.3.54",6.9723
"Bin.2.22",6.7634
"Bin.1.50",6.1943
"Bin.3.10",6.0403
"Bin.7.46",5.9177
"Bin.6.94",5.8283
"Bin.6.98",5.5055
"Bin.1.06",5.4762
"Bin.7.22",5.2872
"Bin.7.18",5.2735
"Bin.1.30",5.2405
"Bin.1.46",4.8035
"Bin.7.34",4.7139
"Bin.3.38",4.5081
"Bin.2.42",4.4442
"Bin.8.34",4.3645
"Bin.2.86",3.6688
"Bin.8.82",3.6199
"Bin.2.14",3.4158
"Bin.7.94",3.3828
"Bin.7.26",3.1011
"Bin.2.74",3.0825
"Bin.9.14",3.0115
"Bin.7.10",2.9752
"Bin.2.90",2.8924
"Bin.8.54",2.8742
"Bin.4.38",2.8606
"Bin.7.90",2.6609
"Bin.2.78",2.3408
"Bin.2.38",2.2812
"Bin.8.02",1.8508
"Bin.8.86",1.3744
"Bin.8.10",1.3711
"Bin.8.06",1.3135
"Bin.2.94",1.1029
"Bin.6.86",1.0067
"Bin.7.50",0.89985
"Bin.6.90",0.76051
"Bin.1.10",0.74448
"Bin.7.74",0.74229
"Bin.7.98",0.41577
"Bin.2.82",0
