"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.9.14",-0.00116,-0.0048506,0.0029268,-0.020977,-0.014972,-0.018531,-0.0017029,-0.0048457
"Bin.8.86",-0.00010998,-0.00037213,0.0037205,-0.018702,-0.0075662,-0.021664,-0.0020674,-0.0054986
"Bin.8.82",-0.00045895,-0.0069986,0.0048957,-0.025475,-0.016195,-0.027386,0.011741,-0.011555
"Bin.8.54",-0.0058601,-0.013121,0.027942,-0.013431,-0.029108,-0.010476,-0.0025015,0.039674
"Bin.8.34",0.0012244,0.012267,0.0027072,0.0085961,0.014949,-0.0084695,0.0092149,0.019704
"Bin.8.10",0.00010924,0.0071128,0.0080649,-0.019856,-0.00036571,-0.019449,0.0088885,0.010237
"Bin.8.06",0.0001911,0.0080025,0.00087481,-0.0051901,0.002114,-0.031452,0.0053258,0.019068
"Bin.8.02",-0.0018315,0.0029862,-0.0066246,-0.0079193,-0.026784,-0.016274,0.0254,0.06733
"Bin.7.98",-0.0030629,0.0038765,0.010945,0.011741,-0.04537,-0.019279,0.036331,-0.034137
"Bin.7.94",-0.005477,0.0071285,0.025325,0.0042062,-0.026908,-0.0039522,-0.00012119,-0.031018
"Bin.7.90",0.0024928,0.0010891,0.0059765,0.019759,0.038179,-0.0086034,0.0064244,-0.034934
"Bin.7.86",-0.059019,-0.20855,0.21937,-0.018884,-0.021593,0.11455,-0.097484,0.03411
"Bin.7.82",-0.074411,-0.2944,0.30177,-0.044344,-0.082155,0.1353,-0.027108,-0.039794
"Bin.7.74",0.00029312,0.0051948,0.00069817,-0.00051997,0.0059416,-0.0089777,-0.0079593,-0.0035976
"Bin.7.66",-0.03062,-0.10468,0.10774,-0.002838,-0.013924,0.058236,-0.050348,0.0090027
"Bin.7.62",-0.027876,-0.11253,0.15705,-0.021677,-0.042836,0.041971,0.0093109,-0.022352
"Bin.7.58",-0.040566,-0.1502,0.18217,-0.012196,-0.050308,0.079238,-0.045141,0.035395
"Bin.7.54",-0.086244,-0.30922,0.32752,-0.023503,-0.091513,0.14073,-0.057592,-0.052565
"Bin.7.50",-0.00047597,-0.0015575,0.012432,-0.010232,-0.0097386,-0.029319,0.032041,-0.037915
"Bin.7.46",0.0060258,0.011396,0.0265,-0.01199,-0.014403,-0.0027832,0.052067,-0.0037148
"Bin.7.42",0.012176,0.00079617,0.054211,0.008627,-0.15936,0.024568,0.18265,-0.078397
"Bin.7.38",0.0085946,0.0090273,0.075876,-0.0042243,-0.16142,0.015047,0.19839,-0.083071
"Bin.7.34",0.012465,-0.004213,0.043243,-0.014043,-0.10685,0.028359,0.17027,-0.11826
"Bin.7.30",-0.0052901,-0.030619,0.0086198,-0.035876,-0.03805,-0.020804,0.038803,-0.037672
"Bin.7.26",-0.0015081,-0.0059389,0.038022,-0.013721,-0.043703,0.021659,0.08789,-0.053392
"Bin.7.22",-0.0082948,-0.020285,0.02942,-0.025117,-0.083382,0.011184,0.10318,-0.047712
"Bin.7.18",-0.0048277,-0.0086885,0.015357,-0.016146,-0.10936,-0.037841,0.073226,0.033419
"Bin.7.14",-0.0032229,-0.0017559,0.010677,-0.073803,-0.045281,-0.045218,0.041477,-0.003156
"Bin.7.10",-0.003259,-0.01431,0.00023932,0.044238,0.063887,-0.03877,0.018866,-0.025436
"Bin.7.06",0.0085642,0.00075539,0.03845,0.0083848,0.0028638,-0.0058322,0.03547,-0.040611
"Bin.7.02",0.0051783,0.0072479,0.030754,0.0064508,0.015597,-0.0093231,-0.00086484,-0.038919
"Bin.6.98",0.0090914,-0.012522,-0.0086543,-0.029601,-0.018395,0.011891,0.0056423,-0.034931
"Bin.6.94",0.013845,-0.014404,-0.015838,-0.011868,-0.032751,0.029466,0.027781,-0.041433
"Bin.6.90",0.0018544,-0.00085544,0.0097352,0.0075811,0.010332,-0.011506,-0.0015503,-0.020622
"Bin.6.86",-4.2732e-05,-0.0010996,0.010325,0.0055434,-0.017736,-0.050313,0.021596,-0.009243
"Bin.4.38",-0.0046486,-0.0043405,-0.014339,-0.02352,0.059166,-0.0024824,0.015212,0.012987
"Bin.4.34",0.010776,0.01744,0.021343,-0.056201,0.073485,0.040295,-0.069241,0.11808
"Bin.4.30",0.0054786,0.033066,0.01477,-0.018355,0.031022,0.028119,-0.0010324,0.10384
"Bin.4.26",0.0097944,0.022913,0.014102,-0.0061104,0.025187,0.030536,0.003165,0.056166
"Bin.4.22",0.012519,0.022171,0.053579,-0.032917,0.085771,0.067865,-0.065115,0.011142
"Bin.4.18",0.011439,0.022704,0.00096195,0.0052529,-0.072109,0.06717,0.042465,0.045541
"Bin.4.14",0.014258,0.03985,-0.026271,-0.0037595,-0.0082674,0.07249,-0.029944,0.10899
"Bin.4.10",0.0075467,0.076922,-0.02617,-0.074796,0.072922,0.0077535,-0.076327,0.2348
"Bin.4.06",-0.38031,0.23685,-0.021243,0.036789,-0.082388,0.16133,-0.33085,0.067246
"Bin.4.02",-0.014426,0.046591,0.037729,-0.082633,0.023724,-0.089666,-0.038548,-0.020725
"Bin.4.04",-0.39473,0.28344,0.016486,-0.045844,-0.058664,0.071663,-0.3694,0.046522
"Bin.3.98",-0.1361,-0.43734,0.4535,-0.12447,-0.17542,0.20234,-0.24571,0.23203
"Bin.3.94",0.009427,-0.07346,-0.12318,-0.1828,-0.10728,-0.025607,0.22512,-0.31622
"Bin.3.90",0.074768,0.0027375,-0.037892,-0.10993,-0.029849,0.20007,-0.052946,-0.081981
"Bin.3.86",0.055865,0.029215,-0.054069,-0.067918,0.026066,0.17738,-0.1459,-0.031142
"Bin.3.82",0.044804,-0.00024054,0.023139,-0.10372,0.12051,0.36382,-0.39603,-0.1951
"Bin.3.78",0.029571,0.053653,-0.10857,-0.11179,-0.18204,0.22259,-0.02037,0.080194
"Bin.3.74",0.13575,0.061728,-0.18156,0.10954,-0.20001,0.40178,-0.040784,0.1477
